Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Company,Sector,Market Cap,Forward PE,EPS,Revenue,Net Income,Profit Margin,Return on Equity
2020-01-02,72.33387756347656,75.0875015258789,75.1500015258789,73.79750061035156,74.05999755859375,135480400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-03,71.63066101074219,74.35749816894531,75.1449966430664,74.125,74.2874984741211,146322800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-06,72.201416015625,74.94999694824219,74.98999786376953,73.1875,73.44750213623047,118387200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-07,71.86185455322266,74.59750366210938,75.2249984741211,74.37000274658203,74.95999908447266,108872000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-08,73.0178451538086,75.79750061035156,76.11000061035156,74.29000091552734,74.29000091552734,132079200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-09,74.56880950927734,77.40750122070312,77.60749816894531,76.55000305175781,76.80999755859375,170108400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-10,74.73737335205078,77.5824966430664,78.1675033569336,77.0625,77.6500015258789,140644800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-13,76.3340835571289,79.23999786376953,79.26750183105469,77.7874984741211,77.91000366210938,121532000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-14,75.3033447265625,78.16999816894531,79.39250183105469,78.0425033569336,79.17500305175781,161954400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-15,74.98060607910156,77.83499908447266,78.875,77.38749694824219,77.9625015258789,121923600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-16,75.91987609863281,78.80999755859375,78.92500305175781,78.02249908447266,78.39749908447266,108829200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-17,76.76036834716797,79.68250274658203,79.68499755859375,78.75,79.06749725341797,137816400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-21,76.24016571044922,79.14250183105469,79.75499725341797,79.0,79.29750061035156,110843200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-22,76.5123062133789,79.42500305175781,79.99749755859375,79.32749938964844,79.6449966430664,101832400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-23,76.88079833984375,79.80750274658203,79.88999938964844,78.9124984741211,79.4800033569336,104472000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-24,76.65921020507812,79.57749938964844,80.8324966430664,79.37999725341797,80.0625,146537600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-27,74.405029296875,77.23750305175781,77.94249725341797,76.22000122070312,77.51499938964844,161940000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-28,76.5099105834961,79.42250061035156,79.5999984741211,78.04750061035156,78.1500015258789,162234000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-29,78.1114273071289,81.08499908447266,81.9625015258789,80.34500122070312,81.11250305175781,216229200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-30,77.99822235107422,80.96749877929688,81.02249908447266,79.6875,80.13500213623047,126743200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-01-31,74.53990173339844,77.37750244140625,80.66999816894531,77.07250213623047,80.23249816894531,199588400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-03,74.33517456054688,77.16500091552734,78.37249755859375,75.55500030517578,76.07499694824219,173788400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-04,76.78926849365234,79.7125015258789,79.91000366210938,78.40750122070312,78.82749938964844,136616400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
